lon,lat,year,cpue
138,35,1990,2
148,37,1990,125
144,36,1990,42
145,40,1990,19
140,30,1990,57
141,35,1990,40
143,31,1990,125
140,35,1990,19
148,36,1990,221
143,41,1990,94
145,35,1990,234
142,36,1990,50
144,35,1990,85
143,37,1990,84
145,31,1990,134
140,35,1990,63
144,34,1990,119
143,31,1990,294
148,32,1990,197
143,34,1990,112
142,37,1990,26
140,35,1990,21
150,34,1990,186
150,34,1990,197
142,41,1990,26
139,38,1990,6
148,38,1990,61
142,38,1990,16
146,39,1990,23
140,38,1990,31
145,33,1990,227
149,26,1990,182
143,40,1990,5
146,40,1990,24
145,29,1990,217
142,34,1990,129
138,38,1990,0
144,33,1990,62
144,37,1990,26
148,33,1990,212
141,37,1990,66
149,36,1990,188
153,33,1990,567
145,39,1990,103
147,38,1990,166
142,35,1990,49
142,40,1990,0
136,39,1990,0
135,35,1990,0
147,28,1990,232
147,34,1990,387
152,42,1990,11
139,37,1990,7
144,38,1990,16
140,31,1990,32
148,38,1990,43
143,35,1990,110
143,29,1990,95
136,33,1990,65
139,37,1990,11
150,42,1990,0
149,30,1990,331
141,37,1990,36
139,40,1990,0
146,41,1990,16
145,35,1990,50
144,43,1990,0
150,32,1990,323
142,35,1990,48
143,37,1990,11
147,27,1990,248
146,36,1990,80
150,38,1990,71
149,36,1990,238
152,37,1990,61
145,46,1990,0
144,34,1990,122
144,32,1990,164
145,30,1990,111
143,32,1990,83
143,40,1990,0
145,34,1990,128
145,33,1990,146
146,40,1990,19
142,40,1990,0
144,32,1990,272
137,32,1990,0
142,35,1990,6
152,40,1990,88
138,39,1990,0
141,28,1990,62
144,36,1990,163
143,33,1990,32
149,35,1990,221
144,30,1990,97
144,35,1990,301
142,33,1990,29
140,34,1990,80
150,32,1990,352
143,36,1990,122
143,32,1990,88
144,30,1990,162
148,29,1990,217
147,33,1990,136
145,27,1990,110
146,43,1990,14
140,31,1990,90
148,34,1990,228
144,28,1990,188
140,35,1990,80
146,28,1990,176
146,27,1990,232
148,29,1990,196
143,35,1990,177
148,36,1990,235
147,36,1990,247
147,34,1990,232
146,27,1990,307
139,40,1990,28
142,29,1990,86
146,33,1990,143
144,38,1990,16
141,36,1990,79
147,42,1990,8
142,33,1990,70
139,32,1990,182
144,37,1990,41
150,36,1990,44
140,35,1990,24
145,36,1990,136
147,28,1990,118
147,40,1990,12
136,31,1990,5
144,34,1990,96
146,33,1990,117
148,30,1990,190
142,37,1990,14
146,37,1990,165
146,22,1990,147
139,41,1990,0
138,31,1990,59
151,34,1990,247
147,35,1990,216
152,36,1990,139
151,30,1990,349
139,33,1990,102
146,36,1990,153
147,35,1990,175
144,39,1990,46
146,36,1990,162
143,33,1990,5
147,28,1990,307
146,32,1990,240
147,35,1990,330
142,32,1990,94
140,45,1990,0
145,29,1990,175
134,33,1990,0
145,30,1990,149
145,32,1990,131
147,31,1990,241
147,30,1990,270
143,33,1990,78
147,26,1990,168
151,43,1990,0
146,31,1990,282
138,31,1990,46
136,32,1990,27
141,36,1990,41
149,39,1990,48
148,37,1990,152
141,37,1990,24
150,27,1990,553
140,38,1990,30
140,36,1990,41
144,34,1990,118
151,34,1990,433
148,32,1990,205
140,30,1990,29
145,38,1990,45
145,37,1990,15
144,33,1990,146
133,45,1990,0
145,31,1990,122
148,35,1990,187
141,39,1990,36
150,35,1990,185
140,32,1990,95
145,33,1990,128
150,33,1990,265
148,34,1990,213
142,36,1990,29
149,38,1990,59
141,37,1990,44
149,32,1990,261
142,33,1990,42
141,35,1990,72
144,33,1990,229
142,36,1990,32
142,32,1990,94
138,33,1990,52
140,32,1990,77
143,39,1990,0
146,32,1990,319
143,36,1990,69
143,34,1990,138
138,41,1990,0
148,40,1990,134
147,36,1990,190
140,41,1990,0
145,33,1990,124
139,33,1990,265
146,34,1990,136
146,36,1990,201
136,31,1990,6
142,38,1990,5
142,33,1990,170
152,35,1990,475
142,39,1990,3
148,40,1990,44
148,36,1990,156
145,37,1990,36
143,31,1990,126
151,44,1990,0
150,38,1990,152
147,36,1990,214
145,36,1990,30
141,29,1990,67
142,33,1990,67
145,36,1990,188
145,33,1990,96
143,35,1990,117
140,35,1990,28
137,36,1990,3
143,35,1990,41
147,40,1990,61
146,38,1990,35
142,38,1990,7
144,35,1990,56
144,37,1990,15
138,34,1990,33
145,34,1990,115
139,37,1990,0
151,30,1990,253
144,33,1990,110
143,31,1990,194
139,33,1990,118
146,35,1990,69
139,36,1990,0
151,37,1990,74
148,29,1990,235
148,28,1990,207
141,35,1990,47
146,36,1990,109
144,37,1990,16
145,24,1990,157
145,33,1990,92
146,26,1990,142
142,30,1990,135
147,31,1990,309
150,29,1990,423
143,37,1990,143
144,32,1990,247
143,33,1990,47
144,30,1990,86
147,33,1990,281
144,37,1990,90
141,39,1990,7
147,38,1990,32
147,36,1990,213
145,35,1990,140
151,37,1990,58
146,28,1990,207
144,30,1990,151
147,28,1990,221
148,32,1990,288
149,41,1990,50
147,34,1990,215
140,28,1990,132
147,36,1990,184
141,34,1990,83
142,34,1990,172
139,35,1990,20
137,39,1990,11
140,39,1990,42
149,33,1990,148
142,35,1990,65
145,29,1990,171
141,40,1990,0
136,40,1990,0
144,42,1990,0
144,33,1990,105
148,34,1990,202
142,35,1990,91
144,32,1990,88
148,32,1990,226
148,40,1990,39
142,33,1990,61
151,32,1990,328
143,34,1990,197
143,32,1990,93
140,40,1990,0
150,37,1990,62
148,42,1990,21
141,42,1990,0
149,29,1990,280
148,33,1990,208
142,31,1990,34
148,37,1990,163
146,35,1990,148
145,27,1990,111
146,35,1990,269
142,28,1990,120
141,37,1990,81
144,34,1990,84
147,31,1990,257
144,33,1990,63
144,28,1990,248
138,28,1990,15
142,36,1990,38
144,36,1990,81
140,31,1990,47
140,31,1990,49
147,37,1990,73
138,38,1990,0
137,35,1990,11
150,39,1990,167
149,36,1990,258
146,34,1990,165
147,35,1990,92
145,34,1990,39
142,32,1990,94
139,43,1990,0
142,36,1990,54
137,35,1990,10
143,32,1990,209
138,39,1990,15
143,33,1990,80
141,31,1990,23
145,29,1990,172
147,31,1990,485
142,40,1990,0
152,38,1990,165
146,38,1990,106
142,30,1990,69
144,46,1990,0
140,32,1990,141
143,31,1990,70
141,34,1990,94
147,32,1990,182
146,36,1990,150
141,32,1990,56
145,43,1990,0
143,31,1990,212
145,39,1990,53
154,32,1990,665
145,31,1990,160
142,30,1990,68
143,34,1990,37
151,34,1990,139
146,30,1990,122
148,39,1990,31
145,38,1990,79
151,32,1990,296
145,38,1990,17
143,34,1990,59
149,41,1990,85
140,31,1990,96
149,40,1990,42
141,36,1990,79
146,35,1990,140
140,29,1990,41
148,37,1990,115
146,36,1990,75
145,36,1990,75
154,37,1990,324
141,34,1990,52
142,35,1990,95
141,33,1990,153
137,26,1990,58
151,33,1990,332
147,38,1990,97
144,29,1990,124
143,36,1990,82
139,35,1990,12
153,37,1990,116
141,37,1990,39
144,33,1990,151
147,30,1990,334
146,34,1990,158
146,35,1990,117
143,35,1990,177
143,32,1990,84
149,27,1990,267
143,31,1990,174
144,36,1990,47
143,34,1990,127
150,35,1990,140
147,39,1990,31
138,38,1990,0
142,32,1990,97
147,35,1990,284
145,34,1990,169
144,31,1990,408
142,32,1990,101
137,32,1990,35
146,35,1990,58
135,36,1990,6
146,35,1990,92
151,34,1990,131
147,41,1990,18
143,28,1990,65
146,30,1990,255
137,30,1990,177
143,36,1990,78
153,33,1990,311
143,31,1990,37
144,35,1990,84
148,28,1990,148
140,40,1990,20
152,31,1990,367
140,38,1990,33
145,33,1990,172
151,28,1990,279
147,43,1990,3
143,34,1990,115
145,37,1990,4
145,41,1990,39
142,28,1990,81
146,36,1990,179
142,28,1990,17
146,40,1990,28
142,37,1990,14
145,37,1990,23
145,36,1990,31
147,35,1990,299
146,36,1990,118
146,43,1990,26
138,46,1990,0
142,34,1990,36
150,31,1990,302
143,32,1990,203
144,36,1990,111
145,38,1990,56
147,44,1990,20
148,31,1990,204
144,43,1990,0
145,34,1990,128
144,32,1990,173
142,36,1990,12
148,37,1990,101
146,39,1990,16
153,32,1990,488
149,34,1990,184
143,31,1990,168
149,33,1990,438
146,34,1990,124
137,34,1990,24
145,30,1990,136
140,38,1990,6
147,43,1990,55
145,38,1990,118
144,31,1990,230
138,39,1990,36
143,29,1990,143
141,36,1990,52
141,39,1990,18
146,35,1990,200
140,33,1990,94
148,34,1990,430
144,32,1990,183
143,30,1990,85
149,39,1990,173
146,29,1990,221
144,37,1990,72
151,35,1990,199
141,36,1990,29
150,39,1990,109
146,39,1990,89
141,35,1990,14
146,33,1990,186
148,34,1990,144
146,43,1990,0
149,34,1990,304
147,34,1990,353
146,34,1990,289
144,36,1990,56
146,37,1990,90
137,36,1990,0
143,31,1990,163
143,34,1990,55
145,32,1990,174
141,35,1990,28
144,33,1990,79
143,38,1990,9
143,29,1990,117
148,34,1990,253
145,33,1990,83
141,35,1990,44
145,37,1990,14
148,39,1990,54
149,38,1990,107
144,34,1990,187
139,26,1990,30
141,27,1990,36
151,31,1990,299
145,37,1990,19
144,33,1990,115
149,33,1990,356
139,37,1990,17
146,40,1990,9
147,35,1990,140
145,33,1990,188
146,40,1990,21
148,38,1990,47
143,40,1990,0
140,37,1990,21
140,32,1990,64
139,35,1990,33
147,29,1990,349
146,37,1990,46
141,34,1990,66
147,34,1990,195
148,28,1990,168
145,39,1990,85
146,33,1990,77
138,40,1990,5
140,35,1990,9
153,37,1990,57
138,36,1990,51
138,35,1990,21
153,35,1990,473
143,36,1990,17
140,38,1990,50
149,33,1990,164
146,28,1990,177
143,31,1990,130
139,37,1990,9
143,30,1990,88
147,35,1990,299
146,39,1990,39
145,35,1990,167
137,40,1990,38
147,35,1990,244
141,32,1990,94
147,43,1990,42
148,37,1990,181
145,30,1990,157
142,38,1990,18
142,38,1990,9
143,32,1990,122
147,44,1990,4
143,37,1990,155
140,30,1990,322
151,31,1990,330
147,36,1990,176
137,32,1990,4
141,35,1990,5
144,39,1990,18
140,43,1990,0
141,32,1990,75
145,29,1990,181
146,31,1990,90
141,38,1990,18
142,38,1990,4
140,40,1990,0
144,28,1990,181
140,35,1990,47
146,39,1990,37
148,34,1990,215
137,35,1990,20
154,35,1990,394
147,33,1990,60
145,33,1990,58
136,29,1990,0
144,32,1990,255
145,34,1990,86
147,32,1990,226
140,34,1990,31
152,41,1990,112
148,33,1990,390
146,39,1990,90
149,38,1990,177
145,32,1990,230
137,32,1990,25
140,32,1990,78
145,36,1990,49
144,39,1990,249
152,35,1990,445
141,35,1990,17
145,36,1990,28
139,38,1990,72
142,34,1990,68
149,30,1990,303
147,34,1990,469
138,40,1990,14
145,38,1990,138
146,34,1990,159
139,37,1990,0
144,38,1990,22
148,40,1990,38
145,33,1990,85
144,36,1990,38
145,37,1990,73
148,30,1990,149
138,34,1990,62
145,32,1990,244
143,33,1990,23
142,35,1990,23
142,36,1990,16
145,32,1990,171
149,29,1990,211
137,36,1990,0
149,29,1990,343
148,34,1990,285
143,29,1990,61
142,39,1990,0
147,39,1990,53
143,35,1990,81
141,25,1990,59
146,32,1990,561
149,42,1990,25
144,30,1990,261
143,30,1990,77
141,39,1990,9
135,34,1990,0
142,41,1990,10
144,31,1990,226
144,38,1990,82
143,34,1990,84
144,31,1990,162
148,39,1990,76
151,36,1990,395
141,37,1990,44
144,29,1990,194
148,34,1990,313
145,36,1990,145
149,31,1990,399
149,46,1990,0
146,34,1990,138
154,26,1990,298
147,32,1990,114
139,37,1990,13
147,30,1990,251
143,27,1990,118
148,35,1990,146
146,44,1990,0
151,40,1990,59
140,35,1990,28
149,31,1990,341
145,32,1990,150
147,34,1990,260
147,34,1990,172
145,32,1990,210
144,45,1990,0
146,29,1990,326
142,37,1990,35
141,32,1990,41
145,30,1990,89
145,32,1990,240
144,28,1990,261
143,29,1990,108
152,30,1990,276
147,39,1990,35
142,34,1990,71
137,34,1990,8
142,41,1990,12
149,30,1990,183
142,34,1990,163
144,36,1990,41
137,39,1990,39
149,36,1990,100
147,28,1990,171
132,37,1990,0
146,35,1990,154
149,29,1990,274
146,28,1990,199
149,35,1990,222
146,24,1990,55
150,34,1990,362
150,36,1990,67
137,31,1990,56
143,32,1990,101
144,39,1990,143
143,33,1990,103
145,37,1990,38
145,28,1990,120
144,33,1990,115
139,43,1990,0
140,33,1990,185
143,38,1990,9
151,39,1990,131
143,38,1990,17
137,34,1990,16
146,26,1990,131
144,27,1990,165
152,33,1990,486
147,37,1990,160
147,43,1990,16
146,35,1990,152
143,27,1990,271
144,36,1990,92
145,34,1990,111
148,34,1990,350
149,36,1990,138
151,31,1990,426
147,44,1990,0
141,35,1990,46
143,37,1990,85
148,28,1990,141
138,35,1990,14
141,31,1990,30
149,32,1990,424
149,34,1990,144
145,39,1990,31
141,28,1990,43
144,26,1990,76
138,31,1990,54
145,33,1990,102
145,29,1990,137
145,28,1990,133
141,39,1990,7
147,33,1990,187
148,30,1990,257
151,35,1990,193
140,34,1990,34
137,35,1990,19
145,33,1990,174
148,28,1990,272
138,36,1990,10
150,30,1990,472
142,45,1990,0
138,37,1990,7
144,41,1990,4
144,33,1990,142
145,35,1990,145
148,24,1990,171
142,33,1990,65
144,29,1990,47
144,40,1990,28
144,36,1990,82
143,35,1990,139
146,39,1990,37
143,29,1990,96
144,35,1990,74
138,39,1990,0
141,32,1990,68
151,30,1990,348
146,26,1990,283
147,35,1990,300
136,34,1990,5
149,37,1990,55
144,38,1990,12
142,31,1990,91
141,38,1990,46
147,30,1990,197
151,41,1990,49
148,36,1990,162
141,32,1990,44
150,30,1990,269
146,34,1990,139
142,35,1990,25
143,30,1990,160
144,33,1990,129
146,37,1990,65
144,29,1990,118
142,30,1990,92
142,34,1990,167
140,29,1990,110
149,34,1990,274
144,34,1990,228
136,32,1990,1
149,26,1990,296
143,29,1990,82
149,33,1990,259
140,27,1990,35
149,39,1990,95
141,35,1990,64
137,36,1990,6
142,35,1990,83
148,36,1990,95
143,31,1990,124
147,38,1990,40
143,36,1990,81
144,37,1990,44
145,26,1990,105
142,26,1990,58
147,36,1990,187
149,32,1990,245
144,28,1990,132
144,32,1990,141
139,35,1990,43
142,42,1990,0
144,31,1990,205
138,27,1990,10
149,41,1990,16
142,28,1990,15
148,34,1990,147
141,32,1990,74
148,26,1990,94
144,36,1990,147
148,35,1990,184
144,31,1990,283
150,33,1990,250
145,34,1990,102
154,31,1990,480
145,32,1990,218
141,29,1990,46
147,40,1990,15
151,34,1990,339
145,36,1990,44
150,31,1990,351
153,31,1990,495
144,40,1990,31
143,37,1990,100
138,29,1990,19
142,34,1990,156
150,37,1990,30
144,29,1990,97
146,39,1990,8
150,32,1990,408
142,35,1990,28
144,40,1990,149
146,33,1990,358
142,34,1990,38
148,33,1990,129
141,38,1990,19
140,40,1990,0
137,33,1990,51
156,31,1990,295
138,47,1990,0
147,36,1990,302
142,34,1990,111
147,38,1990,74
143,34,1990,113
144,28,1990,152
150,38,1990,101
155,35,1990,203
148,40,1990,39
136,43,1990,5
145,38,1990,91
148,34,1990,253
146,38,1990,150
145,27,1990,179
145,37,1990,33
148,35,1990,246
144,37,1990,131
138,35,1990,1
149,41,1990,25
145,36,1990,54
139,32,1990,271
142,34,1990,49
142,39,1990,0
143,33,1990,235
138,33,1990,45
142,35,1990,29
146,38,1990,76
140,34,1990,59
142,34,1990,90
146,37,1990,42
148,33,1990,252
141,40,1990,0
152,29,1990,635
144,29,1990,100
142,31,1990,49
148,34,1990,318
139,36,1990,0
148,37,1990,173
142,35,1990,7
141,40,1990,0
144,35,1990,87
145,37,1990,44
147,41,1990,43
147,37,1990,118
144,36,1990,105
141,36,1990,28
143,40,1990,0
149,34,1990,218
142,40,1990,0
144,33,1990,217
146,32,1990,348
145,38,1990,54
143,33,1990,74
143,37,1990,19
150,35,1990,205
143,30,1990,83
149,35,1990,240
137,32,1990,96
151,35,1990,191
146,35,1990,146
144,42,1990,0
149,35,1990,136
145,32,1990,183
143,36,1990,135
143,39,1990,1
151,34,1990,226
150,39,1990,64
141,31,1990,50
148,34,1990,288
146,37,1990,238
140,29,1990,22
145,31,1990,148
143,32,1990,178
148,34,1990,388
141,32,1990,41
144,41,1990,4
149,32,1990,250
146,27,1990,189
144,37,1990,74
146,37,1990,95
139,41,1990,5
135,35,1990,2
147,34,1990,284
150,33,1990,299
144,34,1990,166
145,40,1990,23
143,39,1990,3
147,36,1990,357
143,33,1990,11
142,33,1990,44
147,29,1990,185
149,32,1990,378
151,30,1990,340
148,33,1990,159
145,35,1990,87
142,27,1990,113
144,39,1990,97
141,35,1990,14
149,29,1990,301
143,46,1990,0
144,37,1990,75
138,36,1990,10
153,29,1990,371
148,33,1990,306
140,38,1990,8
144,31,1990,160
149,40,1990,40
148,39,1990,49
147,36,1990,217
145,38,1990,123
150,28,1990,245
147,35,1990,187
145,36,1990,81
142,33,1990,111
141,37,1990,12
148,33,1990,273
145,41,1990,3
143,28,1990,120
145,33,1990,195
149,36,1990,90
136,41,1990,0
135,35,1990,0
148,39,1990,143
147,32,1990,226
140,30,1990,98
145,33,1990,75
154,34,1990,365
146,37,1990,82
144,36,1990,214
147,31,1990,163
150,39,1990,163
146,38,1990,43
155,29,1990,591
144,31,1990,241
148,31,1990,327
146,29,1990,191
144,32,1990,233
132,37,1990,0
145,38,1990,49
146,37,1990,105
145,29,1990,279
144,28,1990,157
148,35,1990,191
146,34,1990,160
148,33,1990,143
137,35,1990,20
146,34,1990,227
148,42,1990,26
142,33,1990,92
147,36,1990,196
144,35,1990,60
145,34,1990,151
139,42,1990,0
151,28,1990,393
139,33,1990,55
142,41,1990,22
145,37,1990,10
140,26,1990,39
138,24,1990,25
138,30,1990,61
138,36,1990,66
147,38,1990,107
141,33,1990,74
147,35,1990,159
142,39,1990,0
145,35,1990,196
133,37,1990,0
149,35,1990,134
149,40,1990,59
152,30,1990,395
146,33,1991,155
153,36,1991,171
149,45,1991,0
146,39,1991,56
140,40,1991,13
154,36,1991,165
146,38,1991,3
141,37,1991,12
138,36,1991,14
149,37,1991,90
150,41,1991,17
143,34,1991,123
142,36,1991,127
149,38,1991,152
152,32,1991,239
145,33,1991,200
145,28,1991,264
147,29,1991,509
145,34,1991,117
141,36,1991,7
143,35,1991,134
148,34,1991,205
141,39,1991,0
144,30,1991,219
150,43,1991,12
145,30,1991,260
147,33,1991,129
145,38,1991,91
146,37,1991,2
152,38,1991,61
152,35,1991,204
161,39,1991,108
144,30,1991,156
144,31,1991,48
152,34,1991,408
145,36,1991,50
146,32,1991,298
142,37,1991,13
149,34,1991,236
149,33,1991,160
144,31,1991,95
148,32,1991,304
144,30,1991,116
141,39,1991,0
145,37,1991,38
157,32,1991,357
139,27,1991,1
150,25,1991,192
146,36,1991,90
141,37,1991,0
155,42,1991,12
145,31,1991,154
148,36,1991,64
146,38,1991,9
152,35,1991,146
152,40,1991,41
147,37,1991,82
139,31,1991,47
142,30,1991,238
146,35,1991,92
154,28,1991,410
151,32,1991,399
137,40,1991,0
149,37,1991,95
143,27,1991,118
141,36,1991,14
141,35,1991,3
149,38,1991,124
147,37,1991,106
145,28,1991,222
141,35,1991,0
142,32,1991,14
149,40,1991,24
151,37,1991,97
144,39,1991,0
143,36,1991,87
140,32,1991,85
146,27,1991,225
148,28,1991,274
149,33,1991,191
146,30,1991,280
144,36,1991,109
147,29,1991,272
153,34,1991,511
143,45,1991,0
146,30,1991,284
145,38,1991,77
143,35,1991,165
148,34,1991,130
142,42,1991,2
145,35,1991,144
153,30,1991,358
147,30,1991,358
146,36,1991,93
152,37,1991,105
145,32,1991,234
146,33,1991,274
142,34,1991,63
144,34,1991,54
143,40,1991,14
151,43,1991,56
144,34,1991,154
146,33,1991,147
147,37,1991,34
148,36,1991,69
155,38,1991,288
151,39,1991,179
146,30,1991,175
152,32,1991,416
142,36,1991,78
146,33,1991,198
