"","Species","Family","Order","Habitat","ratio.Fork.length","ratio.Eye.diameter","ratio.Body.height","ratio.First.dorsal.fin","ratio.Second.dorsal.fin","Shape.caudal.fin"
"1","スズキ","スズキ","スズキ","浮魚",0.963636363636364,0.0636363636363636,0.227272727272727,0.2,0.0545454545454545,"湾入形"
"2","ブリ","アジ","スズキ","浮魚",0.925925925925926,0.037037037037037,0.231481481481481,0.0555555555555556,0.5,"湾入形"
"3","マダイ","タイ","スズキ","底魚",0.918918918918919,0.0720720720720721,0.36036036036036,0.432432432432432,0,"二叉形"
"5","マコガレイ","カレイ","カレイ","底魚",NA,0.037037037037037,0.314814814814815,0.722222222222222,0,"円形"
"6","ヒラメ","ヒラメ","カレイ","底魚",NA,0.0384615384615385,0.240384615384615,0.711538461538462,0,"円形"
"7","コノシロ","ニシン","ニシン","浮魚",0.89,0.04,0.27,0.16,0,"二叉形"
"8","カタクチイワシ","カタクチイワシ","ニシン","浮魚",0.91588785046729,0.0560747663551402,0.130841121495327,0.0186915887850467,0.0467289719626168,"二叉形"
"9","イトヨリダイ","イトヨリダイ","スズキ","底魚",0.768518518518518,0.037037037037037,0.203703703703704,0.37962962962963,0,"二叉形"
"10","クロダイ","タイ","スズキ","底魚",0.956989247311828,0.043010752688172,0.301075268817204,0.440860215053763,0,"二叉形"
"11","マイワシ","ニシン","ニシン","浮魚",0.922222222222222,0.0444444444444444,0.155555555555556,0.1,0,"二叉形"
"12","マアジ","アジ","スズキ","浮魚",0.9,0.0636363636363636,0.2,0.1,0.318181818181818,"二叉形"
"13","マサバ","サバ","スズキ","浮魚",0.907407407407407,0.0555555555555556,0.212962962962963,0.111111111111111,0.101851851851852,"二叉形"
