"Species","DorsalRed","DorsalGreen","DorsalBlue","VentralRed","VentralGreen","VentralBlue","maxDepth","minTemp","maxTemp","SpwMinTemp","SpwMaxTemp"
"さけ",47.6666666666667,60,58.6666666666667,143,113.333333333333,108,250,-1,20,1,8
"まがれい",168.333333333333,113,58,185.666666666667,142.333333333333,93.6666666666667,40,8,20,16,17
"あいなめ",115.333333333333,62,102.333333333333,196,198.666666666667,209.666666666667,155,9,19,12,19
"まさば",55,73,74.3333333333333,134,128.666666666667,116,300,4,30,12,25
"くろまぐろ",68,74.3333333333333,77.3333333333333,178,169.666666666667,165,550,5,30,22,27
"ひらめ",115.666666666667,77.3333333333333,48.6666666666667,110.666666666667,66.6666666666667,54,200,5,30,10,23
"くろそい",49.3333333333333,67.3333333333333,59.3333333333333,182,168.333333333333,171,100,7,30,8,17
"まあじ",49.3333333333333,68.3333333333333,57.6666666666667,179.666666666667,200,208,275,10,28,12,28
"ぶり",75.3333333333333,89.6666666666667,92.6666666666667,233.333333333333,232.666666666667,241.333333333333,100,7,32,13,29
"いしだい",113.333333333333,112.333333333333,116.333333333333,184.666666666667,180.333333333333,186,10,4,36,17,26
"まだい",151,92.6666666666667,77,197,183,178,200,8,32,13,23
"しまあじ",118.666666666667,139.333333333333,135.666666666667,156.333333333333,150,130,238,15,26,15,24
"きじはた",98,89.3333333333333,66.3333333333333,153.333333333333,130.333333333333,112.333333333333,55,16,30,25,30
"しいら",104.666666666667,115.666666666667,120.666666666667,197.333333333333,185.666666666667,174.666666666667,85,18,28,21,29
