"Year","F","Biomass","cpue","catch"
1,0.25,10000,8.6477081393241,2500
2,0.263157894736842,7765.67676460192,7.89667885850402,2043.59914857945
3,0.276315789473684,6167.50538917049,5.11495560883063,1704.17912069185
4,0.289473684210526,5811.93046840141,7.83788433416999,1682.40092506357
5,0.302631578947368,4751.77649978508,4.97497379093956,1438.03762493496
6,0.315789473684211,5237.10733152975,4.35652897267104,1653.8233678515
7,0.328947368421053,5859.03184620107,6.33107587688468,1927.31310730298
8,0.342105263157895,4934.58519305226,5.60653878235218,1688.14756604419
9,0.355263157894737,4030.23383507912,4.43257495080715,1431.79359930442
10,0.368421052631579,4004.20915025258,3.69236959266267,1475.23495009305
11,0.381578947368421,3661.0147206802,4.85542476807262,1396.96614341744
12,0.394736842105263,4332.26007688962,4.59081703195007,1710.10266193011
13,0.407894736842105,3815.66024333497,3.30311379803842,1556.387730834
14,0.421052631578947,3666.34489745811,2.30770897714804,1543.72416735078
15,0.434210526315789,3276.47346584852,4.0218977355992,1422.67926806581
16,0.447368421052632,2729.89100995849,2.65189628544045,1221.2670307709
17,0.460526315789474,2535.90755831032,2.47765743600137,1167.85216501133
18,0.473684210526316,1922.61052846723,2.27607201074891,910.710250326584
19,0.486842105263158,2060.33356378133,2.38002771572576,1003.05712973565
20,0.5,1894.65680992009,2.09136713442983,947.328404960043
21,0.05,2120.75829542476,2.49819678487471,106.037914771238
22,0.05,2974.11553444212,3.40884647041066,148.705776722106
23,0.05,3586.98270856165,3.56878204824833,179.349135428083
24,0.05,4820.67169557979,3.17415969749812,241.03358477899
25,0.05,5281.81243695753,5.86049723847151,264.090621847877
26,0.05,5498.17297875374,5.32914122117563,274.908648937687
27,0.05,6618.7489060174,6.28865529790944,330.93744530087
28,0.05,7050.28828762888,5.14959479537533,352.514414381444
29,0.05,7699.84943722816,6.85906245506539,384.992471861408
30,0.05,8220.3827832403,8.76008043801529,411.019139162015
31,0.05,8011.71601216525,10.3051202376626,400.585800608263
32,0.05,7903.21944960277,7.58909733587013,395.160972480139
33,0.05,8183.6684425801,8.66831858593105,409.183422129005
34,0.05,9534.86223597743,9.24602549143938,476.743111798872
35,0.05,7928.71433419742,5.90074718431075,396.435716709871
36,0.25,8820.37587757861,7.9571076474866,2205.09396939465
37,0.25,7340.3015841713,6.64936883944694,1835.07539604282
38,0.25,7172.41743515932,6.94748746341842,1793.10435878983
39,0.25,6170.86443988395,7.5371490934948,1542.71610997099
40,0.25,5998.5272050861,6.84931825818646,1499.63180127153
41,0.25,5824.12090510891,5.52400616305803,1456.03022627723
42,0.25,5262.87252931395,4.90377173029271,1315.71813232849
43,0.25,5831.25940328535,6.57073483491317,1457.81485082134
44,0.25,6245.25418257612,6.84250904801397,1561.31354564403
45,0.25,6249.8518944053,5.33776287358563,1562.46297360132
46,0.25,6832.63563332192,5.81366661325014,1708.15890833048
47,0.25,6530.30517561762,6.8851716922901,1632.57629390441
48,0.25,5281.41182722838,6.03695676669093,1320.35295680709
49,0.25,4892.46561156461,4.68903661616642,1223.11640289115
50,0.25,4330.12948808625,5.06229021077912,1082.53237202156
